"","page_number","word"
"1",1,"adopted"
"2",1,"budget"
"3",1,"fy"
"4",1,"strengthening"
"5",1,"our"
"6",1,"foundation"
"7",1,"in"
"8",1,"workforce"
"9",1,"operations"
"10",1,"and"
"11",1,"infrastructure"
"12",2,"annual"
"13",2,"budget"
"14",2,"city"
"15",2,"of"
"16",2,"raleigh"
"17",2,"north"
"18",2,"carolina"
"19",2,"fiscal"
"20",2,"year"
"21",2,"beginning"
"22",2,"july"
"23",2,"recommended"
"24",2,"to"
"25",2,"the"
"26",2,"city"
"27",2,"council"
"28",2,"by"
"29",2,"the"
"30",2,"city"
"31",2,"manager"
"32",2,"may"
"33",2,"adopted"
"34",2,"by"
"35",2,"the"
"36",2,"city"
"37",2,"council"
"38",2,"june"
"39",2,"raleigh"
"40",2,"city"
"41",2,"council"
"42",2,"nancy"
"43",2,"mcfarlane"
"44",2,"russ"
"45",2,"stephenson"
"46",2,"nicole"
"47",2,"stewart"
"48",2,"richard"
"49",2,"a"
"50",2,"dickie"
"51",2,"mayor"
"52",2,"at"
"53",2,"large"
"54",2,"at"
"55",2,"large"
"56",2,"thompson"
"57",2,"district"
"58",2,"a"
"59",2,"david"
"60",2,"n"
"61",2,"cox"
"62",2,"corey"
"63",2,"d"
"64",2,"branch"
"65",2,"kay"
"66",2,"crowder"
"67",2,"stef"
"68",2,"mendell"
"69",2,"district"
"70",2,"b"
"71",2,"district"
"72",2,"c"
"73",2,"district"
"74",2,"d"
"75",2,"district"
"76",2,"e"
"77",2,"executive"
"78",2,"staff"
"79",2,"ruffin"
"80",2,"l"
"81",2,"hall"
"82",2,"city"
"83",2,"manager"
"84",2,"marchell"
"85",2,"adams"
"86",2,"david"
"87",2,"assistant"
"88",2,"city"
"89",2,"manager"
"90",2,"james"
"91",2,"s"
"92",2,"greene"
"93",2,"jr"
"94",2,"assistant"
"95",2,"city"
"96",2,"manager"
"97",2,"tansy"
"98",2,"hayward"
"99",2,"assistant"
"100",2,"city"
"101",2,"manager"
"102",2,"louis"
"103",2,"buonpane"
"104",2,"chief"
"105",2,"of"
"106",2,"staff"
"107",2,"mary"
"108",2,"vigue"
"109",2,"budget"
"110",2,"and"
"111",2,"management"
"112",2,"services"
"113",2,"director"
"114",3,"the"
"115",3,"following"
"116",3,"teams"
"117",3,"whose"
"118",3,"assistance"
"119",3,"and"
"120",3,"contributions"
"121",3,"to"
"122",3,"the"
"123",3,"annual"
"124",3,"budget"
"125",3,"development"
"126",3,"process"
"127",3,"are"
"128",3,"immeasurable"
"129",3,"are"
"130",3,"hereby"
"131",3,"acknowledged"
"132",3,"budget"
"133",3,"and"
"134",3,"management"
"135",3,"services"
"136",3,"department"
"137",3,"finance"
"138",3,"department"
"139",3,"geographic"
"140",3,"information"
"141",3,"services"
"142",3,"team"
"143",3,"gis"
"144",3,"in"
"145",3,"the"
"146",3,"information"
"147",3,"technology"
"148",3,"department"
"149",3,"cover"
"150",3,"design"
"151",3,"by"
"152",3,"jorge"
"153",3,"gao"
"154",3,"communications"
"155",3,"department"
"156",3,"cover"
"157",3,"photo"
"158",3,"by"
"159",3,"matt"
"160",3,"robinson"
"161",4,"table"
"162",4,"of"
"163",4,"contents"
"164",4,"introduction"
"165",4,"adopted"
"166",4,"budget"
"167",4,"message"
"168",4,"a"
"169",4,"proposed"
"170",4,"budget"
"171",4,"message"
"172",4,"a"
"173",4,"readers"
"174",4,"guide"
"175",4,"a"
"176",4,"budget"
"177",4,"and"
"178",4,"fiscal"
"179",4,"framework"
"180",4,"a"
"181",4,"financial"
"182",4,"policies"
"183",4,"a"
"184",4,"budget"
"185",4,"guide"
"186",4,"a"
"187",4,"city"
"188",4,"council"
"189",4,"information"
"190",4,"a"
"191",4,"city"
"192",4,"of"
"193",4,"raleigh"
"194",4,"profile"
"195",4,"a"
"196",4,"city"
"197",4,"of"
"198",4,"raleigh"
"199",4,"six"
"200",4,"key"
"201",4,"focus"
"202",4,"areas"
"203",4,"a"
"204",4,"urban"
"205",4,"measures"
"206",4,"a"
"207",4,"organization"
"208",4,"chart"
"209",4,"a"
"210",4,"strategic"
"211",4,"plan"
"212",4,"city"
"213",4,"of"
"214",4,"raleigh"
"215",4,"strategic"
"216",4,"plan"
"217",4,"b"
"218",4,"budget"
"219",4,"summary"
"220",4,"revenue"
"221",4,"expenditure"
"222",4,"summary"
"223",4,"c"
"224",4,"total"
"225",4,"budget"
"226",4,"summary"
"227",4,"c"
"228",4,"general"
"229",4,"fund"
"230",4,"summary"
"231",4,"c"
"232",4,"appropriations"
"233",4,"by"
"234",4,"fund"
"235",4,"c"
"236",4,"general"
"237",4,"fund"
"238",4,"appropriations"
"239",4,"by"
"240",4,"division"
"241",4,"c"
"242",4,"general"
"243",4,"fund"
"244",4,"appropriations"
"245",4,"by"
"246",4,"type"
"247",4,"c"
"248",4,"statement"
"249",4,"on"
"250",4,"fund"
"251",4,"balance"
"252",4,"c"
"253",4,"position"
"254",4,"summary"
"255",4,"c"
"256",4,"position"
"257",4,"classification"
"258",4,"changes"
"259",4,"c"
"260",4,"revenue"
"261",4,"revenue"
"262",4,"summary"
"263",4,"d"
"264",4,"revenue"
"265",4,"estimates"
"266",4,"d"
"267",4,"general"
"268",4,"government"
"269",4,"city"
"270",4,"council"
"271",4,"e"
"272",4,"city"
"273",4,"clerk"
"274",4,"e"
"275",4,"city"
"276",4,"attorney"
"277",4,"e"
"278",4,"city"
"279",4,"manager"
"280",4,"e"
"281",4,"office"
"282",4,"of"
"283",4,"economic"
"284",4,"development"
"285",4,"and"
"286",4,"innovation"
"287",4,"e"
"288",4,"economic"
"289",4,"development"
"290",4,"fund"
"291",4,"e"
"292",4,"office"
"293",4,"of"
"294",4,"emergency"
"295",4,"management"
"296",4,"and"
"297",4,"special"
"298",4,"events"
"299",4,"e"
"300",4,"office"
"301",4,"of"
"302",4,"internal"
"303",4,"audit"
"304",4,"e"
"305",4,"office"
"306",4,"of"
"307",4,"sustainability"
"308",4,"e"
"309",4,"budget"
"310",4,"management"
"311",4,"services"
"312",4,"e"
"313",4,"communications"
"314",4,"e"
"315",4,"finance"
"316",4,"e"
"317",4,"risk"
"318",4,"management"
"319",4,"fund"
"320",4,"e"
"321",4,"human"
"322",4,"resources"
"323",4,"e"
"324",4,"healthdental"
"325",4,"trust"
"326",4,"and"
"327",4,"opeb"
"328",4,"trust"
"329",4,"funds"
"330",4,"e"
"331",4,"information"
"332",4,"technology"
"333",4,"e"
"334",4,"special"
"335",4,"appropriations"
"336",4,"e"
"337",5,"infrastructure"
"338",5,"and"
"339",5,"public"
"340",5,"services"
"341",5,"infrastructure"
"342",5,"services"
"343",5,"map"
"344",5,"f"
"345",5,"city"
"346",5,"planning"
"347",5,"f"
"348",5,"development"
"349",5,"services"
"350",5,"f"
"351",5,"engineering"
"352",5,"services"
"353",5,"f"
"354",5,"stormwater"
"355",5,"utility"
"356",5,"fund"
"357",5,"f"
"358",5,"vehicle"
"359",5,"fleet"
"360",5,"services"
"361",5,"internal"
"362",5,"service"
"363",5,"fund"
"364",5,"f"
"365",5,"housing"
"366",5,"and"
"367",5,"neighborhoods"
"368",5,"f"
"369",5,"solid"
"370",5,"waste"
"371",5,"services"
"372",5,"fund"
"373",5,"f"
"374",5,"transportation"
"375",5,"f"
"376",5,"capital"
"377",5,"area"
"378",5,"metropolitan"
"379",5,"planning"
"380",5,"organization"
"381",5,"f"
"382",5,"parking"
"383",5,"facilities"
"384",5,"fund"
"385",5,"f"
"386",5,"public"
"387",5,"transit"
"388",5,"fund"
"389",5,"f"
"390",5,"public"
"391",5,"safety"
"392",5,"public"
"393",5,"safety"
"394",5,"station"
"395",5,"map"
"396",5,"g"
"397",5,"emergency"
"398",5,"communications"
"399",5,"g"
"400",5,"emergency"
"401",5,"telephone"
"402",5,"system"
"403",5,"fund"
"404",5,"g"
"405",5,"fire"
"406",5,"g"
"407",5,"police"
"408",5,"g"
"409",5,"leisure"
"410",5,"services"
"411",5,"leisure"
"412",5,"services"
"413",5,"map"
"414",5,"h"
"415",5,"convention"
"416",5,"center"
"417",5,"complex"
"418",5,"fund"
"419",5,"h"
"420",5,"walnut"
"421",5,"creek"
"422",5,"amphitheater"
"423",5,"operating"
"424",5,"fund"
"425",5,"h"
"426",5,"parks"
"427",5,"recreation"
"428",5,"and"
"429",5,"cultural"
"430",5,"resources"
"431",5,"h"
"432",5,"revolving"
"433",5,"fund"
"434",5,"h"
"435",5,"public"
"436",5,"utilities"
"437",5,"public"
"438",5,"utilities"
"439",5,"map"
"440",5,"i"
"441",5,"public"
"442",5,"utilities"
"443",5,"fund"
"444",5,"i"
"445",5,"water"
"446",5,"and"
"447",5,"sewer"
"448",5,"infrastructure"
"449",5,"funds"
"450",5,"i"
"451",5,"watershed"
"452",5,"protection"
"453",5,"fee"
"454",5,"fund"
"455",5,"i"
"456",5,"annual"
"457",5,"and"
"458",5,"agency"
"459",5,"grants"
"460",5,"city"
"461",5,"agency"
"462",5,"grants"
"463",5,"programs"
"464",5,"j"
"465",5,"arts"
"466",5,"agency"
"467",5,"grants"
"468",5,"j"
"469",5,"community"
"470",5,"enhancement"
"471",5,"grants"
"472",5,"j"
"473",5,"human"
"474",5,"service"
"475",5,"agency"
"476",5,"grants"
"477",5,"j"
"478",5,"other"
"479",5,"outside"
"480",5,"agency"
"481",5,"grants"
"482",5,"j"
"483",5,"agency"
"484",5,"funding"
"485",5,"transitions"
"486",5,"j"
"487",5,"annual"
"488",5,"grants"
"489",5,"j"
"490",5,"debt"
"491",5,"summary"
"492",5,"longterm"
"493",5,"debt"
"494",5,"program"
"495",5,"k"
"496",5,"capital"
"497",5,"debt"
"498",5,"service"
"499",5,"funds"
"500",5,"k"
"501",5,"general"
"502",5,"debt"
"503",5,"service"
"504",5,"fund"
"505",5,"k"
"506",5,"utility"
"507",5,"debt"
"508",5,"service"
"509",5,"fund"
"510",5,"k"
"511",5,"solid"
"512",5,"waste"
"513",5,"debt"
"514",5,"service"
"515",5,"fund"
"516",5,"k"
"517",5,"parking"
"518",5,"debt"
"519",5,"service"
"520",5,"fund"
"521",5,"k"
"522",5,"convention"
"523",5,"center"
"524",5,"debt"
"525",5,"service"
"526",5,"fund"
"527",5,"k"
"528",5,"appendix"
"529",5,"glossary"
"530",5,"l"
"531",5,"city"
"532",5,"of"
"533",5,"raleigh"
"534",5,"fee"
"535",5,"schedule"
"536",5,"l"
"537",5,"ordinances"
"538",5,"and"
"539",5,"resolutions"
"540",6,"july"
"541",6,"mayor"
"542",6,"nancy"
"543",6,"mcfarlane"
"544",6,"mayor"
"545",6,"pro"
"546",6,"tem"
"547",6,"corey"
"548",6,"d"
"549",6,"branch"
"550",6,"council"
"551",6,"member"
"552",6,"david"
"553",6,"n"
"554",6,"cox"
"555",6,"council"
"556",6,"member"
"557",6,"kay"
"558",6,"crowder"
"559",6,"council"
"560",6,"member"
"561",6,"stef"
"562",6,"mendell"
"563",6,"council"
"564",6,"member"
"565",6,"russ"
"566",6,"stephenson"
"567",6,"council"
"568",6,"member"
"569",6,"nicole"
"570",6,"stewart"
"571",6,"council"
"572",6,"member"
"573",6,"richard"
"574",6,"a"
"575",6,"dickie"
"576",6,"thompson"
"577",6,"dear"
"578",6,"mayor"
"579",6,"and"
"580",6,"council"
"581",6,"members"
"582",6,"presented"
"583",6,"in"
"584",6,"this"
"585",6,"document"
"586",6,"is"
"587",6,"the"
"588",6,"adopted"
"589",6,"fiscal"
"590",6,"year"
"591",6,"budget"
"592",6,"for"
"593",6,"the"
"594",6,"city"
"595",6,"of"
"596",6,"raleigh"
"597",6,"as"
"598",6,"approved"
"599",6,"by"
"600",6,"city"
"601",6,"council"
"602",6,"on"
"603",6,"june"
"604",6,"net"
"605",6,"of"
"606",6,"interfund"
"607",6,"transfers"
"608",6,"the"
"609",6,"combined"
"610",6,"capital"
"611",6,"and"
"612",6,"operating"
"613",6,"budgets"
"614",6,"for"
"615",6,"the"
"616",6,"fiscal"
"617",6,"year"
"618",6,"beginning"
"619",6,"july"
"620",6,"totals"
"621",6,"the"
"622",6,"budget"
"623",6,"message"
"624",6,"for"
"625",6,"the"
"626",6,"proposed"
"627",6,"fy"
"628",6,"budget"
"629",6,"that"
"630",6,"immediately"
"631",6,"follows"
"632",6,"this"
"633",6,"letter"
"634",6,"was"
"635",6,"presented"
"636",6,"to"
"637",6,"council"
"638",6,"on"
"639",6,"may"
"640",6,"the"
"641",6,"message"
"642",6,"highlights"
"643",6,"how"
"644",6,"the"
"645",6,"proposed"
"646",6,"budget"
"647",6,"strengthens"
"648",6,"our"
"649",6,"foundation"
"650",6,"in"
"651",6,"workforce"
"652",6,"operations"
"653",6,"and"
"654",6,"infrastructure"
"655",6,"to"
"656",6,"advance"
"657",6,"established"
"658",6,"community"
"659",6,"priorities"
"660",6,"articulated"
"661",6,"in"
"662",6,"the"
"663",6,"strategic"
"664",6,"plan"
"665",6,"the"
"666",6,"community"
"667",6,"survey"
"668",6,"and"
"669",6,"the"
"670",6,"fy"
"671",6,"resident"
"672",6,"budget"
"673",6,"priorities"
"674",6,"survey"
"675",6,"outlined"
"676",6,"below"
"677",6,"is"
"678",6,"a"
"679",6,"summary"
"680",6,"of"
"681",6,"changes"
"682",6,"made"
"683",6,"to"
"684",6,"the"
"685",6,"proposed"
"686",6,"budget"
"687",6,"during"
"688",6,"city"
"689",6,"council"
"690",6,"deliberations"
"691",6,"funded"
"692",6,"through"
"693",6,"fy"
"694",6,"council"
"695",6,"contingency"
"696",6,"fy"
"697",6,"capital"
"698",6,"improvement"
"699",6,"program"
"700",6,"funding"
"701",6,"and"
"702",6,"general"
"703",6,"capital"
"704",6,"reserve"
"705",6,"funding"
"706",6,"blue"
"707",6,"ridge"
"708",6,"corridor"
"709",6,"alliance"
"710",6,"old"
"711",6,"east"
"712",6,"raleigh"
"713",6,"area"
"714",6,"plan"
"715",6,"wakefield"
"716",6,"area"
"717",6,"plan"
"718",6,"dix"
"719",6,"park"
"720",6,"edges"
"721",6,"area"
"722",6,"plan"
"723",6,"city"
"724",6,"council"
"725",6,"amended"
"726",6,"the"
"727",6,"proposed"
"728",6,"parking"
"729",6,"meter"
"730",6,"hour"
"731",6,"change"
"732",6,"from"
"733",6,"ampm"
"734",6,"to"
"735",6,"ampm"
"736",6,"in"
"737",6,"the"
"738",6,"downtown"
"739",6,"and"
"740",6,"glenwood"
"741",6,"south"
"742",6,"districts"
"743",6,"parking"
"744",6,"staff"
"745",6,"will"
"746",6,"evaluate"
"747",6,"the"
"748",6,"meter"
"749",6,"usage"
"750",6,"and"
"751",6,"bring"
"752",6,"a"
"753",6,"new"
"754",6,"proposal"
"755",6,"to"
"756",6,"city"
"757",6,"council"
"758",6,"during"
"759",6,"the"
"760",6,"fy"
"761",6,"budget"
"762",6,"process"
"763",6,"on"
"764",6,"behalf"
"765",6,"of"
"766",6,"all"
"767",6,"city"
"768",6,"staff"
"769",6,"who"
"770",6,"contributed"
"771",6,"to"
"772",6,"the"
"773",6,"fy"
"774",6,"budget"
"775",6,"process"
"776",6,"we"
"777",6,"greatly"
"778",6,"appreciate"
"779",6,"your"
"780",6,"questions"
"781",6,"feedback"
"782",6,"and"
"783",6,"careful"
"784",6,"deliberation"
"785",6,"of"
"786",6,"these"
"787",6,"policy"
"788",6,"and"
"789",6,"resource"
"790",6,"allocation"
"791",6,"decisions"
"792",6,"city"
"793",6,"staff"
"794",6,"is"
"795",6,"already"
"796",6,"working"
"797",6,"to"
"798",6,"implement"
"799",6,"the"
"800",6,"policies"
"801",6,"and"
"802",6,"programs"
"803",6,"contained"
"804",6,"within"
"805",6,"the"
"806",6,"adopted"
"807",6,"budget"
"808",6,"sincerely"
"809",6,"ruffin"
"810",6,"l"
"811",6,"hall"
"812",6,"city"
"813",6,"manager"
"814",6,"a"
"815",7,"dear"
"816",7,"mayor"
"817",7,"and"
"818",7,"city"
"819",7,"council"
"820",7,"members"
"821",7,"i"
"822",7,"am"
"823",7,"pleased"
"824",7,"to"
"825",7,"present"
"826",7,"you"
"827",7,"with"
"828",7,"the"
"829",7,"managers"
"830",7,"proposed"
"831",7,"budget"
"832",7,"for"
"833",7,"fiscal"
"834",7,"year"
"835",7,"and"
"836",7,"the"
"837",7,"proposed"
"838",7,"fiveyear"
"839",7,"capital"
"840",7,"improvement"
"841",7,"program"
"842",7,"cip"
"843",7,"for"
"844",7,"fyfy"
"845",7,"the"
"846",7,"proposed"
"847",7,"budget"
"848",7,"reflects"
"849",7,"continued"
"850",7,"strategic"
"851",7,"investments"
"852",7,"to"
"853",7,"support"
"854",7,"a"
"855",7,"high"
"856",7,"quality"
"857",7,"of"
"858",7,"life"
"859",7,"for"
"860",7,"our"
"861",7,"community"
"862",7,"the"
"863",7,"billion"
"864",7,"proposed"
"865",7,"budget"
"866",7,"is"
"867",7,"the"
"868",7,"culmination"
"869",7,"of"
"870",7,"prioritization"
"871",7,"analysis"
"872",7,"and"
"873",7,"discussion"
"874",7,"that"
"875",7,"has"
"876",7,"included"
"877",7,"every"
"878",7,"city"
"879",7,"department"
"880",7,"and"
"881",7,"city"
"882",7,"council"
"883",7,"members"
"884",7,"balancing"
"885",7,"a"
"886",7,"city"
"887",7,"budget"
"888",7,"is"
"889",7,"never"
"890",7,"easy"
"891",7,"and"
"892",7,"this"
"893",7,"years"
"894",7,"budget"
"895",7,"process"
"896",7,"presented"
"897",7,"unique"
"898",7,"challenges"
"899",7,"as"
"900",7,"the"
"901",7,"service"
"902",7,"demands"
"903",7,"and"
"904",7,"growth"
"905",7,"pressures"
"906",7,"are"
"907",7,"outpacing"
"908",7,"our"
"909",7,"revenue"
"910",7,"growth"
"911",7,"we"
"912",7,"took"
"913",7,"this"
"914",7,"opportunity"
"915",7,"to"
"916",7,"strengthen"
"917",7,"our"
"918",7,"foundation"
"919",7,"prioritizing"
"920",7,"our"
"921",7,"commitments"
"922",7,"to"
"923",7,"employees"
"924",7,"and"
"925",7,"the"
"926",7,"community"
"927",7,"above"
"928",7,"the"
"929",7,"demands"
"930",7,"for"
"931",7,"new"
"932",7,"or"
"933",7,"expanded"
"934",7,"services"
"935",7,"working"
"936",7,"within"
"937",7,"the"
"938",7,"confines"
"939",7,"of"
"940",7,"limited"
"941",7,"resources"
"942",7,"we"
"943",7,"carefully"
"944",7,"examined"
"945",7,"our"
"946",7,"community"
"947",7,"priorities"
"948",7,"articulated"
"949",7,"in"
"950",7,"the"
"951",7,"strategic"
"952",7,"plan"
"953",7,"the"
"954",7,"community"
"955",7,"survey"
"956",7,"and"
"957",7,"the"
"958",7,"fy"
"959",7,"resident"
"960",7,"budget"
"961",7,"priorities"
"962",7,"survey"
"963",7,"and"
"964",7,"used"
"965",7,"those"
"966",7,"to"
"967",7,"guide"
"968",7,"our"
"969",7,"choices"
"970",7,"in"
"971",7,"this"
"972",7,"letter"
"973",7,"i"
"974",7,"highlight"
"975",7,"how"
"976",7,"the"
"977",7,"proposed"
"978",7,"budget"
"979",7,"strengthens"
"980",7,"our"
"981",7,"foundation"
"982",7,"in"
"983",7,"workforce"
"984",7,"operations"
"985",7,"and"
"986",7,"infrastructure"
"987",7,"to"
"988",7,"advance"
"989",7,"established"
"990",7,"priorities"
"991",7,"revenue"
"992",7,"outlook"
"993",7,"while"
"994",7,"the"
"995",7,"city"
"996",7,"is"
"997",7,"experiencing"
"998",7,"continued"
"999",7,"fy"
"1000",7,"revenues"
"1001",7,"growth"
"1002",7,"our"
"1003",7,"revenue"
"1004",7,"forecast"
"1005",7,"did"
"1006",7,"not"
"1007",7,"match"
"1008",7,"that"
"1009",7,"growth"
"1010",7,"during"
"1011",7,"the"
"1012",7,"fy"
"1013",7,"budget"
"1014",7,"fees"
"1015",7,"and"
"1016",7,"development"
"1017",7,"process"
"1018",7,"staff"
"1019",7,"analyzed"
"1020",7,"several"
"1021",7,"charges"
"1022",7,"sales"
"1023",7,"tax"
"1024",7,"areas"
"1025",7,"where"
"1026",7,"revenues"
"1027",7,"were"
"1028",7,"not"
"1029",7,"performing"
"1030",7,"as"
"1031",7,"strongly"
"1032",7,"as"
"1033",7,"they"
"1034",7,"had"
"1035",7,"in"
"1036",7,"the"
"1037",7,"past"
"1038",7,"and"
"1039",7,"refined"
"1040",7,"those"
"1041",7,"estimates"
"1042",7,"to"
"1043",7,"better"
"1044",7,"align"
"1045",7,"with"
"1046",7,"actual"
"1047",7,"inter"
"1048",7,"fund"
"1049",7,"experience"
"1050",7,"the"
"1051",7,"proposed"
"1052",7,"budget"
"1053",7,"does"
"1054",7,"not"
"1055",7,"governmental"
"1056",7,"balance"
"1057",7,"include"
"1058",7,"a"
"1059",7,"property"
"1060",7,"tax"
"1061",7,"increase"
"1062",7,"and"
"1063",7,"maintains"
"1064",7,"grants"
"1065",7,"the"
"1066",7,"current"
"1067",7,"rate"
"1068",7,"of"
"1069",7,"cents"
"1070",7,"per"
"1071",7,"interest"
"1072",7,"valuation"
"1073",7,"the"
"1074",7,"budget"
"1075",7,"assumes"
"1076",7,"regular"
"1077",7,"property"
"1078",7,"and"
"1079",7,"misc"
"1080",7,"tax"
"1081",7,"growth"
"1082",7,"of"
"1083",7,"million"
"1084",7,"more"
"1085",7,"than"
"1086",7,"the"
"1087",7,"fy"
"1088",7,"budgeted"
"1089",7,"amount"
"1090",7,"of"
"1091",7,"million"
"1092",7,"for"
"1093",7,"a"
"1094",7,"total"
"1095",7,"of"
"1096",7,"million"
"1097",7,"a"
"1098",7,"budgeted"
"1099",7,"growth"
"1100",7,"rate"
"1101",7,"of"
"1102",7,"the"
"1103",7,"impacts"
"1104",7,"of"
"1105",7,"the"
"1106",7,"fy"
"1107",7,"sales"
"1108",7,"property"
"1109",7,"tax"
"1110",7,"redistribution"
"1111",7,"have"
"1112",7,"led"
"1113",7,"to"
"1114",7,"slower"
"1115",7,"annual"
"1116",7,"water"
"1117",7,"and"
"1118",7,"tax"
"1119",7,"sewer"
"1120",7,"growth"
"1121",7,"in"
"1122",7,"sales"
"1123",7,"tax"
"1124",7,"and"
"1125",7,"the"
"1126",7,"citys"
"1127",7,"sales"
"1128",7,"tax"
"1129",7,"revenues"
"1130",7,"growth"
"1131",7,"has"
"1132",7,"been"
"1133",7,"lower"
"1134",7,"than"
"1135",7,"the"
"1136",7,"state"
"1137",7,"average"
"1138",7,"a"
"1139",8,"since"
"1140",8,"the"
"1141",8,"change"
"1142",8,"our"
"1143",8,"budgeted"
"1144",8,"sales"
"1145",8,"tax"
"1146",8,"revenue"
"1147",8,"is"
"1148",8,"estimated"
"1149",8,"to"
"1150",8,"increase"
"1151",8,"by"
"1152",8,"million"
"1153",8,"in"
"1154",8,"fy"
"1155",8,"to"
"1156",8,"million"
"1157",8,"the"
"1158",8,"utility"
"1159",8,"franchise"
"1160",8,"tax"
"1161",8,"is"
"1162",8,"outperforming"
"1163",8,"projections"
"1164",8,"in"
"1165",8,"fy"
"1166",8,"and"
"1167",8,"is"
"1168",8,"growing"
"1169",8,"by"
"1170",8,"in"
"1171",8,"fy"
"1172",8,"for"
"1173",8,"a"
"1174",8,"total"
"1175",8,"of"
"1176",8,"million"
"1177",8,"the"
"1178",8,"proposed"
"1179",8,"budget"
"1180",8,"includes"
"1181",8,"an"
"1182",8,"increase"
"1183",8,"in"
"1184",8,"the"
"1185",8,"monthly"
"1186",8,"sewer"
"1187",8,"administrative"
"1188",8,"charge"
"1189",8,"of"
"1190",8,"which"
"1191",8,"will"
"1192",8,"align"
"1193",8,"the"
"1194",8,"sewer"
"1195",8,"base"
"1196",8,"rate"
"1197",8,"charges"
"1198",8,"to"
"1199",8,"cost"
"1200",8,"recovery"
"1201",8,"based"
"1202",8,"on"
"1203",8,"the"
"1204",8,"cost"
"1205",8,"of"
"1206",8,"service"
"1207",8,"study"
"1208",8,"that"
"1209",8,"public"
"1210",8,"utilities"
"1211",8,"completed"
"1212",8,"this"
"1213",8,"year"
"1214",8,"solid"
"1215",8,"waste"
"1216",8,"is"
"1217",8,"proposing"
"1218",8,"a"
"1219",8,"increase"
"1220",8,"per"
"1221",8,"month"
"1222",8,"which"
"1223",8,"will"
"1224",8,"assist"
"1225",8,"in"
"1226",8,"stabilizing"
"1227",8,"the"
"1228",8,"current"
"1229",8,"level"
"1230",8,"of"
"1231",8,"service"
"1232",8,"the"
"1233",8,"proposed"
"1234",8,"budget"
"1235",8,"also"
"1236",8,"includes"
"1237",8,"various"
"1238",8,"downtown"
"1239",8,"parking"
"1240",8,"rate"
"1241",8,"increases"
"1242",8,"that"
"1243",8,"are"
"1244",8,"part"
"1245",8,"of"
"1246",8,"a"
"1247",8,"twoyear"
"1248",8,"phased"
"1249",8,"approach"
"1250",8,"to"
"1251",8,"shift"
"1252",8,"prices"
"1253",8,"to"
"1254",8,"market"
"1255",8,"rates"
"1256",8,"the"
"1257",8,"proposed"
"1258",8,"changes"
"1259",8,"are"
"1260",8,"for"
"1261",8,"onstreet"
"1262",8,"offstreet"
"1263",8,"and"
"1264",8,"monthly"
"1265",8,"parking"
"1266",8,"strengthening"
"1267",8,"our"
"1268",8,"foundation"
"1269",8,"in"
"1270",8,"workforce"
"1271",8,"the"
"1272",8,"proposed"
"1273",8,"budget"
"1274",8,"continues"
"1275",8,"the"
"1276",8,"pursuit"
"1277",8,"of"
"1278",8,"investing"
"1279",8,"in"
"1280",8,"our"
"1281",8,"employees"
"1282",8,"to"
"1283",8,"meet"
"1284",8,"the"
"1285",8,"strategic"
"1286",8,"plan"
"1287",8,"goal"
"1288",8,"of"
"1289",8,"fostering"
"1290",8,"a"
"1291",8,"transparent"
"1292",8,"nimble"
"1293",8,"organization"
"1294",8,"of"
"1295",8,"employees"
"1296",8,"challenged"
"1297",8,"to"
"1298",8,"provide"
"1299",8,"high"
"1300",8,"quality"
"1301",8,"responsive"
"1302",8,"and"
"1303",8,"innovative"
"1304",8,"services"
"1305",8,"efficiently"
"1306",8,"and"
"1307",8,"effectively"
"1308",8,"in"
"1309",8,"fy"
"1310",8,"funding"
"1311",8,"is"
"1312",8,"included"
"1313",8,"to"
"1314",8,"provide"
"1315",8,"annual"
"1316",8,"merit"
"1317",8,"increases"
"1318",8,"for"
"1319",8,"our"
"1320",8,"public"
"1321",8,"safety"
"1322",8,"open"
"1323",8,"range"
"1324",8,"and"
"1325",8,"general"
"1326",8,"step"
"1327",8,"employees"
"1328",8,"at"
"1329",8,"or"
"1330",8,"at"
"1331",8,"an"
"1332",8,"estimated"
"1333",8,"cost"
"1334",8,"of"
"1335",8,"million"
"1336",8,"ensuring"
"1337",8,"we"
"1338",8,"reward"
"1339",8,"performance"
"1340",8,"and"
"1341",8,"stay"
"1342",8,"competitive"
"1343",8,"in"
"1344",8,"the"
"1345",8,"market"
"1346",8,"broadband"
"1347",8,"employees"
"1348",8,"will"
"1349",8,"be"
"1350",8,"eligible"
"1351",8,"for"
"1352",8,"variable"
"1353",8,"merit"
"1354",8,"increases"
"1355",8,"based"
"1356",8,"on"
"1357",8,"performance"
"1358",8,"at"
"1359",8,"an"
"1360",8,"estimated"
"1361",8,"cost"
"1362",8,"of"
"1363",8,"million"
"1364",8,"in"
"1365",8,"addition"
"1366",8,"to"
"1367",8,"funding"
"1368",8,"the"
"1369",8,"step"
"1370",8,"advancement"
"1371",8,"and"
"1372",8,"broadband"
"1373",8,"merit"
"1374",8,"the"
"1375",8,"citys"
"1376",8,"living"
"1377",8,"wage"
"1378",8,"rate"
"1379",8,"is"
"1380",8,"adjusted"
"1381",8,"in"
"1382",8,"accordance"
"1383",8,"with"
"1384",8,"the"
"1385",8,"counciladopted"
"1386",8,"living"
"1387",8,"wage"
"1388",8,"policy"
"1389",8,"the"
"1390",8,"living"
"1391",8,"wage"
"1392",8,"applies"
"1393",8,"to"
"1394",8,"all"
"1395",8,"permanent"
